BRITISH    	CON        	DIRECT     	EAGLE      
BRITISH    	CON        	DIRECT     	GUIDE      
BRITISH    	CON        	DIRECT     	HUSTLE     
BRITISH    	CON        	DIRECT     	LEAD       
BRITISH    	CON        	DIRECT     	NORTHWEST  
BRITISH    	CON        	DIRECT     	PRINCE     
BRITISH    	CON        	DIRECT     	RACKET     
BRITISH    	CON        	DIRECT     	WASHINGTON 
BRITISH    	CON        	DIRECT     	PYRAMID    
BRITISH    	CON        	DIRECT     	SEAL       
BRITISH    	CON        	DIRECT     	NOVA       
BRITISH    	CON        	EAGLE      	GUIDE      
BRITISH    	CON        	EAGLE      	HUSTLE     
BRITISH    	CON        	EAGLE      	LEAD       
BRITISH    	CON        	EAGLE      	NORTHWEST  
BRITISH    	CON        	EAGLE      	PRINCE     
BRITISH    	CON        	EAGLE      	RACKET     
BRITISH    	CON        	EAGLE      	STING      
BRITISH    	CON        	EAGLE      	USHER      
BRITISH    	CON        	EAGLE      	WASHINGTON 
BRITISH    	CON        	EAGLE      	PYRAMID    
BRITISH    	CON        	EAGLE      	SEAL       
BRITISH    	CON        	EAGLE      	NOVA       
BRITISH    	CON        	GUIDE      	HUSTLE     
BRITISH    	CON        	GUIDE      	LEAD       
BRITISH    	CON        	GUIDE      	NORTHWEST  
BRITISH    	CON        	GUIDE      	PRINCE     
BRITISH    	CON        	GUIDE      	RACKET     
BRITISH    	CON        	GUIDE      	STING      
BRITISH    	CON        	GUIDE      	USHER      
BRITISH    	CON        	GUIDE      	WASHINGTON 
BRITISH    	CON        	GUIDE      	PYRAMID    
BRITISH    	CON        	GUIDE      	SEAL       
BRITISH    	CON        	GUIDE      	NOVA       
BRITISH    	CON        	HUSTLE     	LEAD       
BRITISH    	CON        	HUSTLE     	NORTHWEST  
BRITISH    	CON        	HUSTLE     	PRINCE     
BRITISH    	CON        	HUSTLE     	RACKET     
BRITISH    	CON        	HUSTLE     	STING      
BRITISH    	CON        	HUSTLE     	USHER      
BRITISH    	CON        	HUSTLE     	WASHINGTON 
BRITISH    	CON        	HUSTLE     	PYRAMID    
BRITISH    	CON        	HUSTLE     	SEAL       
BRITISH    	CON        	HUSTLE     	NOVA       
BRITISH    	CON        	LEAD       	NORTHWEST  
BRITISH    	CON        	LEAD       	PRINCE     
BRITISH    	CON        	LEAD       	RACKET     
BRITISH    	CON        	LEAD       	STING      
BRITISH    	CON        	LEAD       	USHER      
