phn	cls	pi
sta-sta-sta	XXX	1
sta-sta-stp	XXX	2
sta-sta-sil	XXX	3
sta-sta-spn	XXX	4
sta-sta-P	XXX	5
sta-sta-T	XXX	6
sta-sta-K	XXX	7
sta-sta-B	XXX	8
sta-sta-D	XXX	9
sta-sta-G	XXX	10
sta-sta-CH	XXX	11
sta-sta-JH	XXX	12
sta-sta-F	XXX	13
sta-sta-S	XXX	14
sta-sta-TH	XXX	15
sta-sta-SH	XXX	16
sta-sta-HH	XXX	17
sta-sta-V	XXX	18
sta-sta-Z	XXX	19
sta-sta-DH	XXX	20
sta-sta-ZH	XXX	21
sta-sta-M	XXX	22
sta-sta-N	XXX	23
sta-sta-NG	XXX	24
sta-sta-L	XXX	25
sta-sta-R	XXX	26
sta-sta-Y	XXX	27
sta-sta-W	XXX	28
sta-sta-IY	XXX	29
sta-sta-IH	XXX	30
sta-sta-UW	XXX	31
sta-sta-UH	XXX	32
sta-sta-EH	XXX	33
sta-sta-ER	XXX	34
sta-sta-AO	XXX	35
sta-sta-AE	XXX	36
sta-sta-AH	XXX	37
sta-sta-AA	XXX	38
sta-sta-EY	XXX	39
sta-sta-OW	XXX	40
sta-sta-OY	XXX	41
sta-sta-AY	XXX	42
sta-sta-AW	XXX	43
stp-sta-sta	XXX	44
stp-sta-stp	XXX	45
stp-sta-sil	XXX	46
stp-sta-spn	XXX	47
stp-sta-P	XXX	48
stp-sta-T	XXX	49
stp-sta-K	XXX	50
stp-sta-B	XXX	51
stp-sta-D	XXX	52
stp-sta-G	XXX	53
stp-sta-CH	XXX	54
stp-sta-JH	XXX	55
stp-sta-F	XXX	56
stp-sta-S	XXX	57
stp-sta-TH	XXX	58
stp-sta-SH	XXX	59
stp-sta-HH	XXX	60
stp-sta-V	XXX	61
stp-sta-Z	XXX	62
stp-sta-DH	XXX	63
stp-sta-ZH	XXX	64
stp-sta-M	XXX	65
stp-sta-N	XXX	66
stp-sta-NG	XXX	67
stp-sta-L	XXX	68
stp-sta-R	XXX	69
stp-sta-Y	XXX	70
stp-sta-W	XXX	71
stp-sta-IY	XXX	72
stp-sta-IH	XXX	73
stp-sta-UW	XXX	74
stp-sta-UH	XXX	75
stp-sta-EH	XXX	76
stp-sta-ER	XXX	77
stp-sta-AO	XXX	78
stp-sta-AE	XXX	79
stp-sta-AH	XXX	80
stp-sta-AA	XXX	81
stp-sta-EY	XXX	82
stp-sta-OW	XXX	83
stp-sta-OY	XXX	84
stp-sta-AY	XXX	85
stp-sta-AW	XXX	86
sil-sta-sta	XXX	87
sil-sta-stp	XXX	88
sil-sta-sil	XXX	89
sil-sta-spn	XXX	90
sil-sta-P	XXX	91
sil-sta-T	XXX	92
sil-sta-K	XXX	93
sil-sta-B	XXX	94
sil-sta-D	XXX	95
sil-sta-G	XXX	96
sil-sta-CH	XXX	97
sil-sta-JH	XXX	98
sil-sta-F	XXX	99
sil-sta-S	XXX	100
sil-sta-TH	XXX	101
sil-sta-SH	XXX	102
sil-sta-HH	XXX	103
sil-sta-V	XXX	104
sil-sta-Z	XXX	105
sil-sta-DH	XXX	106
sil-sta-ZH	XXX	107
sil-sta-M	XXX	108
sil-sta-N	XXX	109
sil-sta-NG	XXX	110
sil-sta-L	XXX	111
sil-sta-R	XXX	112
sil-sta-Y	XXX	113
sil-sta-W	XXX	114
sil-sta-IY	XXX	115
sil-sta-IH	XXX	116
sil-sta-UW	XXX	117
sil-sta-UH	XXX	118
sil-sta-EH	XXX	119
sil-sta-ER	XXX	120
sil-sta-AO	XXX	121
sil-sta-AE	XXX	122
sil-sta-AH	XXX	123
sil-sta-AA	XXX	124
sil-sta-EY	XXX	125
sil-sta-OW	XXX	126
sil-sta-OY	XXX	127
sil-sta-AY	XXX	128
sil-sta-AW	XXX	129
spn-sta-sta	XXX	130
spn-sta-stp	XXX	131
spn-sta-sil	XXX	132
spn-sta-spn	XXX	133
spn-sta-P	XXX	134
spn-sta-T	XXX	135
spn-sta-K	XXX	136
spn-sta-B	XXX	137
spn-sta-D	XXX	138
spn-sta-G	XXX	139
spn-sta-CH	XXX	140
spn-sta-JH	XXX	141
spn-sta-F	XXX	142
spn-sta-S	XXX	143
spn-sta-TH	XXX	144
spn-sta-SH	XXX	145
spn-sta-HH	XXX	146
spn-sta-V	XXX	147
spn-sta-Z	XXX	148
spn-sta-DH	XXX	149
spn-sta-ZH	XXX	150
spn-sta-M	XXX	151
spn-sta-N	XXX	152
spn-sta-NG	XXX	153
spn-sta-L	XXX	154
spn-sta-R	XXX	155
spn-sta-Y	XXX	156
spn-sta-W	XXX	157
spn-sta-IY	XXX	158
spn-sta-IH	XXX	159
spn-sta-UW	XXX	160
spn-sta-UH	XXX	161
spn-sta-EH	XXX	162
spn-sta-ER	XXX	163
spn-sta-AO	XXX	164
spn-sta-AE	XXX	165
spn-sta-AH	XXX	166
spn-sta-AA	XXX	167
spn-sta-EY	XXX	168
spn-sta-OW	XXX	169
spn-sta-OY	XXX	170
spn-sta-AY	XXX	171
spn-sta-AW	XXX	172
P-sta-sta	XXX	173
P-sta-stp	XXX	174
P-sta-sil	XXX	175
P-sta-spn	XXX	176
P-sta-P	XXX	177
P-sta-T	XXX	178
P-sta-K	XXX	179
P-sta-B	XXX	180
P-sta-D	XXX	181
P-sta-G	XXX	182
P-sta-CH	XXX	183
P-sta-JH	XXX	184
P-sta-F	XXX	185
P-sta-S	XXX	186
P-sta-TH	XXX	187
P-sta-SH	XXX	188
P-sta-HH	XXX	189
P-sta-V	XXX	190
P-sta-Z	XXX	191
P-sta-DH	XXX	192
P-sta-ZH	XXX	193
P-sta-M	XXX	194
P-sta-N	XXX	195
P-sta-NG	XXX	196
P-sta-L	XXX	197
P-sta-R	XXX	198
P-sta-Y	XXX	199
P-sta-W	XXX	200
P-sta-IY	XXX	201
P-sta-IH	XXX	202
P-sta-UW	XXX	203
P-sta-UH	XXX	204
P-sta-EH	XXX	205
P-sta-ER	XXX	206
P-sta-AO	XXX	207
P-sta-AE	XXX	208
P-sta-AH	XXX	209
P-sta-AA	XXX	210
P-sta-EY	XXX	211
P-sta-OW	XXX	212
P-sta-OY	XXX	213
P-sta-AY	XXX	214
P-sta-AW	XXX	215
T-sta-sta	XXX	216
T-sta-stp	XXX	217
T-sta-sil	XXX	218
T-sta-spn	XXX	219
T-sta-P	XXX	220
T-sta-T	XXX	221
T-sta-K	XXX	222
T-sta-B	XXX	223
T-sta-D	XXX	224
T-sta-G	XXX	225
T-sta-CH	XXX	226
T-sta-JH	XXX	227
T-sta-F	XXX	228
T-sta-S	XXX	229
T-sta-TH	XXX	230
T-sta-SH	XXX	231
T-sta-HH	XXX	232
T-sta-V	XXX	233
T-sta-Z	XXX	234
T-sta-DH	XXX	235
T-sta-ZH	XXX	236
T-sta-M	XXX	237
T-sta-N	XXX	238
T-sta-NG	XXX	239
T-sta-L	XXX	240
T-sta-R	XXX	241
T-sta-Y	XXX	242
T-sta-W	XXX	243
T-sta-IY	XXX	244
T-sta-IH	XXX	245
T-sta-UW	XXX	246
T-sta-UH	XXX	247
T-sta-EH	XXX	248
T-sta-ER	XXX	249
T-sta-AO	XXX	250
T-sta-AE	XXX	251
T-sta-AH	XXX	252
T-sta-AA	XXX	253
T-sta-EY	XXX	254
T-sta-OW	XXX	255
T-sta-OY	XXX	256
T-sta-AY	XXX	257
T-sta-AW	XXX	258
K-sta-sta	XXX	259
K-sta-stp	XXX	260
K-sta-sil	XXX	261
K-sta-spn	XXX	262
K-sta-P	XXX	263
K-sta-T	XXX	264
K-sta-K	XXX	265
K-sta-B	XXX	266
K-sta-D	XXX	267
K-sta-G	XXX	268
K-sta-CH	XXX	269
K-sta-JH	XXX	270
K-sta-F	XXX	271
K-sta-S	XXX	272
K-sta-TH	XXX	273
K-sta-SH	XXX	274
K-sta-HH	XXX	275
K-sta-V	XXX	276
K-sta-Z	XXX	277
K-sta-DH	XXX	278
K-sta-ZH	XXX	279
K-sta-M	XXX	280
K-sta-N	XXX	281
K-sta-NG	XXX	282
K-sta-L	XXX	283
K-sta-R	XXX	284
K-sta-Y	XXX	285
K-sta-W	XXX	286
K-sta-IY	XXX	287
K-sta-IH	XXX	288
K-sta-UW	XXX	289
K-sta-UH	XXX	290
K-sta-EH	XXX	291
K-sta-ER	XXX	292
K-sta-AO	XXX	293
K-sta-AE	XXX	294
K-sta-AH	XXX	295
K-sta-AA	XXX	296
K-sta-EY	XXX	297
K-sta-OW	XXX	298
K-sta-OY	XXX	299
K-sta-AY	XXX	300
K-sta-AW	XXX	301
B-sta-sta	XXX	302
B-sta-stp	XXX	303
B-sta-sil	XXX	304
B-sta-spn	XXX	305
B-sta-P	XXX	306
B-sta-T	XXX	307
B-sta-K	XXX	308
B-sta-B	XXX	309
B-sta-D	XXX	310
B-sta-G	XXX	311
B-sta-CH	XXX	312
B-sta-JH	XXX	313
B-sta-F	XXX	314
B-sta-S	XXX	315
B-sta-TH	XXX	316
B-sta-SH	XXX	317
B-sta-HH	XXX	318
B-sta-V	XXX	319
B-sta-Z	XXX	320
B-sta-DH	XXX	321
B-sta-ZH	XXX	322
B-sta-M	XXX	323
B-sta-N	XXX	324
B-sta-NG	XXX	325
B-sta-L	XXX	326
B-sta-R	XXX	327
B-sta-Y	XXX	328
B-sta-W	XXX	329
B-sta-IY	XXX	330
B-sta-IH	XXX	331
B-sta-UW	XXX	332
B-sta-UH	XXX	333
B-sta-EH	XXX	334
B-sta-ER	XXX	335
B-sta-AO	XXX	336
B-sta-AE	XXX	337
B-sta-AH	XXX	338
B-sta-AA	XXX	339
B-sta-EY	XXX	340
B-sta-OW	XXX	341
B-sta-OY	XXX	342
B-sta-AY	XXX	343
B-sta-AW	XXX	344
D-sta-sta	XXX	345
D-sta-stp	XXX	346
D-sta-sil	XXX	347
D-sta-spn	XXX	348
D-sta-P	XXX	349
D-sta-T	XXX	350
D-sta-K	XXX	351
D-sta-B	XXX	352
D-sta-D	XXX	353
D-sta-G	XXX	354
D-sta-CH	XXX	355
D-sta-JH	XXX	356
D-sta-F	XXX	357
D-sta-S	XXX	358
D-sta-TH	XXX	359
D-sta-SH	XXX	360
D-sta-HH	XXX	361
D-sta-V	XXX	362
D-sta-Z	XXX	363
D-sta-DH	XXX	364
D-sta-ZH	XXX	365
D-sta-M	XXX	366
D-sta-N	XXX	367
D-sta-NG	XXX	368
D-sta-L	XXX	369
D-sta-R	XXX	370
D-sta-Y	XXX	371
D-sta-W	XXX	372
D-sta-IY	XXX	373
D-sta-IH	XXX	374
D-sta-UW	XXX	375
D-sta-UH	XXX	376
D-sta-EH	XXX	377
D-sta-ER	XXX	378
D-sta-AO	XXX	379
D-sta-AE	XXX	380
D-sta-AH	XXX	381
D-sta-AA	XXX	382
